002,Animacion Intro YouTube,Video,Canal TecnoVida,2023,950,Completado
004,Diseno UI Panel Admin,UX,SoftBolivia,2024,1000,Completado
006,Poster Concierto,Ilustracion,Agencia Ritmo,2022,800,Completado
008,Rediseno Logo Farmacia,Branding,Farmacia Salud,2023,2100,Completado
010,Web E-commerce Ropa,Web,ModaBolivia,2024,3800,Pausado
012,Documental Cortometraje,Video,Cine Independiente,2025,4270,En progreso
014,App Prototipo Delivery,UX,QuickFood,2021,1500,Completado
016,Branding Startup Fintech,Branding,PagoFacil,2024,1850,Pausado
018,Infografias Revista,Ilustracion,Revista Negocios,2023,2630,Completado
020,Portal Web Municipio,Web,Municipio SC,2026,3100,En progreso
