"001","Diseno Web Restaurante","UI","Brosso",2026,1200,"En progreso"
"003","Logo Restaurante El Sabor","Branding","Restaurante El Sabor",2022,1000,"Completado"
"005","Cartel Festival de Cine","Ilustracion","CineBolivia",2024,800,"Completado"
"007","Manual de Marca Boutique","Branding","Boutique Luna",2024,2100,"Completado"
"009","Prototipo App Turismo","UX","BoliviaTour",2020,3800,"Pausado"
"011","Video Corporativo ONG","Video","FundaVida",2026,4270,"En progreso"
"013","Ilustracion Libro Infantil","Ilustracion","Editorial Arco Iris",2023,1500,"Completado"
"015","Identidad Visual Cafeteria","Branding","Cafe Central El Topo",2025,1850,"Pausado"
"017","Landing Page Consultora","Web","ConsultoraBP",2022,2630,"Completado"
"019","Campana Visual Producto Leche","Branding","Lacteos del Valle",2024,3100,"En progreso"
